# This file contains a map between the DSID and the name of the histogram to be used by HistNameSvc
# Format: DSID / Name used in HistNameSvc / Description(not used anywhere) / etag / crossSection / kfactor / genFiltEff				
# WARNING 1: for samples with multiple e-tags the e-tag that should be used must be specified in the 4th column
# WARNING 2: if the columns 5-6 are filled the PMG cross-sections will be overwritten with those provided in this file
346344	                           ttH	                 PhPy8EG_A14NNPDF23_NNPDF30ME_ttH125_semilep	e7148	
364158	                             W	           Sherpa_221_NNPDF30NNLO_Wmunu_MAXHTPTV0_70_BFilter	e5340	
364159	                             W	      Sherpa_221_NNPDF30NNLO_Wmunu_MAXHTPTV70_140_CVetoBVeto	e5340	
364160	                             W	    Sherpa_221_NNPDF30NNLO_Wmunu_MAXHTPTV70_140_CFilterBVeto	e5340
364161	                             W	         Sherpa_221_NNPDF30NNLO_Wmunu_MAXHTPTV70_140_BFilter	e5340	
364162	                             W	     Sherpa_221_NNPDF30NNLO_Wmunu_MAXHTPTV140_280_CVetoBVeto	e5340	
364163	                             W	   Sherpa_221_NNPDF30NNLO_Wmunu_MAXHTPTV140_280_CFilterBVeto	e5340	
364164	                             W	        Sherpa_221_NNPDF30NNLO_Wmunu_MAXHTPTV140_280_BFilter	e5340	
364165	                             W	     Sherpa_221_NNPDF30NNLO_Wmunu_MAXHTPTV280_500_CVetoBVeto	e5340	
364166	                             W	   Sherpa_221_NNPDF30NNLO_Wmunu_MAXHTPTV280_500_CFilterBVeto	e5340	
364167	                             W	        Sherpa_221_NNPDF30NNLO_Wmunu_MAXHTPTV280_500_BFilter	e5340	
364168	                             W	               Sherpa_221_NNPDF30NNLO_Wmunu_MAXHTPTV500_1000	e5340	
364169	                             W	             Sherpa_221_NNPDF30NNLO_Wmunu_MAXHTPTV1000_E_CMS	e5340	
364170	                             W	         Sherpa_221_NNPDF30NNLO_Wenu_MAXHTPTV0_70_CVetoBVeto	e5340	
364171	                             W	       Sherpa_221_NNPDF30NNLO_Wenu_MAXHTPTV0_70_CFilterBVeto	e5340	
364172	                             W	            Sherpa_221_NNPDF30NNLO_Wenu_MAXHTPTV0_70_BFilter	e5340	
364173	                             W	       Sherpa_221_NNPDF30NNLO_Wenu_MAXHTPTV70_140_CVetoBVeto	e5340	
364174	                             W	     Sherpa_221_NNPDF30NNLO_Wenu_MAXHTPTV70_140_CFilterBVeto	e5340	
364175	                             W	          Sherpa_221_NNPDF30NNLO_Wenu_MAXHTPTV70_140_BFilter	e5340	
364176	                             W	      Sherpa_221_NNPDF30NNLO_Wenu_MAXHTPTV140_280_CVetoBVeto	e5340	
364177	                             W	    Sherpa_221_NNPDF30NNLO_Wenu_MAXHTPTV140_280_CFilterBVeto	e5340	
364178	                             W	         Sherpa_221_NNPDF30NNLO_Wenu_MAXHTPTV140_280_BFilter	e5340	
364179	                             W	      Sherpa_221_NNPDF30NNLO_Wenu_MAXHTPTV280_500_CVetoBVeto	e5340	
364180	                             W	    Sherpa_221_NNPDF30NNLO_Wenu_MAXHTPTV280_500_CFilterBVeto	e5340	
364181	                             W	         Sherpa_221_NNPDF30NNLO_Wenu_MAXHTPTV280_500_BFilter	e5340	
364182	                             W	                Sherpa_221_NNPDF30NNLO_Wenu_MAXHTPTV500_1000	e5340	
364183	                             W	              Sherpa_221_NNPDF30NNLO_Wenu_MAXHTPTV1000_E_CMS	e5340	
364184	                             W	       Sherpa_221_NNPDF30NNLO_Wtaunu_MAXHTPTV0_70_CVetoBVeto	e5340	
364185	                             W	     Sherpa_221_NNPDF30NNLO_Wtaunu_MAXHTPTV0_70_CFilterBVeto	e5340	
364186	                             W	          Sherpa_221_NNPDF30NNLO_Wtaunu_MAXHTPTV0_70_BFilter	e5340	
364187	                             W	     Sherpa_221_NNPDF30NNLO_Wtaunu_MAXHTPTV70_140_CVetoBVeto	e5340	
364188	                             W	   Sherpa_221_NNPDF30NNLO_Wtaunu_MAXHTPTV70_140_CFilterBVeto	e5340	
364189	                             W	        Sherpa_221_NNPDF30NNLO_Wtaunu_MAXHTPTV70_140_BFilter	e5340	
364190	                             W	    Sherpa_221_NNPDF30NNLO_Wtaunu_MAXHTPTV140_280_CVetoBVeto	e5340	
364191	                             W	  Sherpa_221_NNPDF30NNLO_Wtaunu_MAXHTPTV140_280_CFilterBVeto	e5340	
364192	                             W	       Sherpa_221_NNPDF30NNLO_Wtaunu_MAXHTPTV140_280_BFilter	e5340	
364193	                             W	    Sherpa_221_NNPDF30NNLO_Wtaunu_MAXHTPTV280_500_CVetoBVeto	e5340	
364194	                             W	  Sherpa_221_NNPDF30NNLO_Wtaunu_MAXHTPTV280_500_CFilterBVeto	e5340	
364195	                             W	       Sherpa_221_NNPDF30NNLO_Wtaunu_MAXHTPTV280_500_BFilter	e5340	
364196	                             W	              Sherpa_221_NNPDF30NNLO_Wtaunu_MAXHTPTV500_1000	e5340	
364197	                             W	            Sherpa_221_NNPDF30NNLO_Wtaunu_MAXHTPTV1000_E_CMS	e5340	
410470	                         ttbar	                     PhPy8EG_A14_ttbar_hdamp258p75_nonallhad	e6337	
410644	                         stops	        PowhegPythiaEvtGen_P2012_SingleTopSchan_noAllHad_top	e6527	
410645	                         stops	        PowhegPythia8EvtGen_A14_singletop_schan_lept_antitop	e6527	
410646	                        stopWt	                 PowhegPythia8EvtGen_A14_Wt_DR_inclusive_top	e6552	
410647	                        stopWt	             PowhegPythia8EvtGen_A14_Wt_DR_inclusive_antitop	e6552	
410658	                         stopt	                             PhPy8EG_A14_tchan_BW50_lept_top	e6671	
410659	                         stopt	                         PhPy8EG_A14_tchan_BW50_lept_antitop	e6671
410080	                          tttt	                     MadGraphPythia8EvtGen_A14NNPDF23_4topSM	e4111
410081	                       ttbarWW	                    MadGraphPythia8EvtGen_A14NNPDF23_ttbarWW	e4111	
410155	                           ttV	                 aMcAtNloPythia8EvtGen_MEN30NLO_A14N23LO_ttW	e5070	
410218	                           ttV	                aMcAtNloPythia8EvtGen_MEN30NLO_A14N23LO_ttee	e5070	
410219	                           ttV	              aMcAtNloPythia8EvtGen_MEN30NLO_A14N23LO_ttmumu	e5070	
410220	                           ttV	            aMcAtNloPythia8EvtGen_MEN30NLO_A14N23LO_tttautau	e5070	
363355	                            ZZ	                                   Sh_221_NNPDF30NNLO_ZqqZvv	e5525	
363356	                            ZZ	                                   Sh_221_NNPDF30NNLO_ZqqZll	e5525	
363357	                            WZ	                                   Sh_221_NNPDF30NNLO_WqqZvv	e5525	
363358	                            WZ	                                   Sh_221_NNPDF30NNLO_WqqZll	e5525	
363359	                            WW	                                 Sh_221_NNPDF30NNLO_WpqqWmlv	e5583	
363360	                            WW	                                 Sh_221_NNPDF30NNLO_WplvWmqq	e5983	
363489	                            WZ	                                   Sh_221_NNPDF30NNLO_WlvZqq	e5525	
364250	                          llll	                                 Sherpa_222_NNPDF30NNLO_llll	e5894	
364253	                          lllv	                                 Sherpa_222_NNPDF30NNLO_lllv	e5916	
364254	                          llvv	                                 Sherpa_222_NNPDF30NNLO_llvv	e5916	
364302	                          ggZZ	                                 Sh_222_NNPDF30NNLO_ggZllZqq	e6273	
364303	                          ggZZ	                                 Sh_222_NNPDF30NNLO_ggZvvZqq	e6273	
364304	                          ggWW	                               Sh_222_NNPDF30NNLO_ggWmlvWpqq	e6273	
364305	                          ggWW	                               Sh_222_NNPDF30NNLO_ggWplvWmqq	e6273	
364222	                             Z	                    Sherpa_221_NNPDF30NNLO_Znunu_PTV500_1000	e5626	
364223	                             Z	                  Sherpa_221_NNPDF30NNLO_Znunu_PTV1000_E_CMS	e5626	
410408	                           tWZ	                      aMcAtNloPythia8EvtGen_tWZ_Ztoll_minDR1	e6423	
